UserID,Username,Color,Mobile or CPU?,Bodies Reported,Emergencies Called,Tasks Completed,All Tasks Completed,Sabotages Fixed,Imposter Kills,Times Murdered,Times Ejected,Crewmate Streak,Times Imposter,Times Crewmate,Games Started,Games Finished,Imposter Vote Wins,Imposter Kill Wins,Imposter Sabotage Wins,Crewmate Vote Wins,Crewmate Task Wins
1,Big Cheese,Lime,Mobile,94,60,706,100,146,202,132,84,2,113,336,449,435,18,46,4,139,35
2,CJ,White,Mobile,3,2,36,6,13,10,7,10,4,9,15,24,22,1,3,0,5,2
3,David,Orange,Mobile,41,43,490,64,80,70,88,37,6,40,193,233,222,4,12,1,93,9
4,MW,Yellow,CPU,65,28,572,88,169,96,125,31,2,56,261,317,317,11,22,5,103,37
5,Francesca,Pink,CPU,75,15,536,60,143,79,67,54,7,52,192,244,237,6,4,5,109,26
6,BEAR,Brown,Mobile,112,32,1216,137,343,205,229,84,4,135,488,623,593,26,48,7,197,45
7,rolyply,Lime,Mobile,4,2,40,4,4,21,13,3,4,7,25,32,32,1,3,0,13,1
8,galks,Red,CPU,57,28,600,85,124,75,81,42,5,44,200,244,240,3,11,1,115,24
9,Ysmy,Black,CPU,38,19,547,74,91,77,61,45,10,47,202,249,235,7,12,5,112,30
10,pain,Purple,CPU,31,3,437,57,94,37,57,30,6,26,134,160,155,1,6,1,74,17
11,meep,Lime,CPU,61,7,595,80,196,85,77,51,0,55,188,243,240,6,13,4,113,23
12,Mom,Lime,Mobile,23,5,174,11,17,12,26,11,17,11,121,132,105,1,3,0,68,2
13,Samwisw,Cyan,CPU,47,30,441,62,94,118,72,44,8,61,166,227,224,8,18,7,83,17
14,Peter,Pink,Mobile,23,7,221,24,78,31,30,12,18,17,78,95,91,2,5,0,38,7
15,Kaywu,Red,CPU,74,38,662,68,192,110,103,58,2,58,200,258,254,8,16,3,98,17
16,GemReaper,Cyan,Mobile,4,2,45,4,11,2,9,0,7,1,23,24,24,1,0,0,14,0